year,category,performer,song,place_contest,pts_orch_fin,pts_tele_fin,perc_tele_supfin,youtube_url_studio,youtube_url_live,start
2013,Big Artists,Maria Nazionale,Quando non parlo,E,,,,https://www.youtube.com/watch?v=1caXwQhYgLU,,00:01:05
2013,Big Artists,Simone Cristicchi,Mi manchi,E,,,,https://www.youtube.com/watch?v=z4bVYhXxMSQ,,00:01:23
2013,Big Artists,Marta sui Tubi,Dispari,E,,,,https://www.youtube.com/watch?v=TBWEsyOJqqg,,00:00:51
2013,Big Artists,Simona Molinari & Peter Cincotti,Dr. Jekyll and Mr. Hide,E,,,,https://www.youtube.com/watch?v=_EZmcCZCwEE,,00:00:55
2013,Big Artists,Almamegretta,Onda che vai,E,,,,https://www.youtube.com/watch?v=b7clk6PGdvI,,00:01:07


2014,Big Artists,Arisa,Controvento,1,,,,https://www.youtube.com/watch?v=wPrKYs2iDKQ,https://www.youtube.com/watch?v=uqSi8kjXgZY,00:00:50
2014,Big Artists,Renzo Rubino,Ora,2,,,,https://www.youtube.com/watch?v=xgT4h-Fv7l8,,00:01:13
2014,Big Artists,Raphael Gualazzi & The Bloody Beetroots,Liberi o no,3,,,,https://www.youtube.com/watch?v=4KBkDzFbw-0,,00:00:44
2014,Big Artists,Francesco Renga,Vivendo adesso,4,,,,https://www.youtube.com/watch?v=5f7gYim4f9g,,00:01:05
2014,Big Artists,Noemi,Bagnati dal sole,5,,,,https://www.youtube.com/watch?v=-ZuQEZ4B4oo,https://www.youtube.com/watch?v=yLYPzSyPNgU,00:00:51
2014,Big Artists,Perturbazione,L'unica,6,,,,https://www.youtube.com/watch?v=BO-62OJATiU,,00:01:08
2014,Big Artists,Cristiano De André,Il cielo è vuoto,7,,,,https://youtube.com/watch?v=c5HQvi2rbeE,,00:00:58
2014,Big Artists,Frankie hi-nrg mc,Pedala,8,,,,https://www.youtube.com/watch?v=qgJ78qNY7DU,,00:01:03
2014,Big Artists,Giusy Ferreri,Ti porto a cena con me,9,,,,https://www.youtube.com/watch?v=N1fZ4Zi8syk,https://www.youtube.com/watch?v=F1ZW--n4_P0,00:01:26
2014,Big Artists,Francesco Sarcina,Nel tuo sorriso,10,,,,https://www.youtube.com/watch?v=pSvyF_ZuXyc,,00:01:15
2014,Big Artists,Giuliano Palma,Così lontano,11,,,,https://www.youtube.com/watch?v=TSG6X9Ftz0A,,00:01:16
2014,Big Artists,Antonella Ruggiero,Da lontano,12,,,,https://www.youtube.com/watch?v=w8GSz7HeFRw,,00:01:14
2014,Big Artists,Ron,Sing in the Rain,13,,,,https://www.youtube.com/watch?v=0x-qOsTGrDg,,00:00:40
2014,Big Artists,Arisa,Lentamente (Il primo che passa),E,,,,https://www.youtube.com/watch?v=q5RrreQwngQ,,00:01:20
2014,Big Artists,Raphael Gualazzi & The Bloody Beetroots,Tanto ci sei,E,,,,https://www.youtube.com/watch?v=tikfPJBnrx0,,00:01:11
2014,Big Artists,Renzo Rubino,Per sempre e poi basta,E,,,,https://www.youtube.com/watch?v=O2kXeUNtACc,,00:00:47
2014,Big Artists,Francesco Renga,A un isolato da te,E,,,,https://www.youtube.com/watch?v=cwHulB5gLqQ,,00:01:00
2014,Big Artists,Noemi,Un uomo è un albero,E,,,,https://www.youtube.com/watch?v=o77DAXTP1Hc,,00:00:52
2014,Big Artists,Perturbazione,L'Italia vista dal bar,E,,,,https://www.youtube.com/watch?v=W8vgphvnlMk,,00:01:01
2014,Big Artists,Cristiano De André,Invisibili,E,,,,https://www.youtube.com/watch?v=1gxsRWO6EwM,,00:00:55
2014,Big Artists,Frankie hi-nrg mc,Un uomo è vivo,E,,,,https://www.youtube.com/watch?v=QG2-EqwniiE,,00:01:10
2014,Big Artists,Giusy Ferreri,L'amore possiede il bene,E,,,,https://www.youtube.com/watch?v=FfFY7K1pB4k,,00:00:53
2014,Big Artists,Francesco Sarcina,In questa città,E,,,,https://www.youtube.com/watch?v=xtIHK7oibj4,,00:01:25
2014,Big Artists,Giuliano Palma,Un bacio crudele,E,,,,https://www.youtube.com/watch?v=gY4LLWTjUNU,,00:01:20
2014,Big Artists,Antonella Ruggiero,Quando balliamo,E,,,,https://www.youtube.com/watch?v=L537TKjemJw,,00:00:43
2014,Big Artists,Ron,Un abbraccio unico,E,,,,https://www.youtube.com/watch?v=Yx0aEMcNVxU,,00:01:03
2014,Big Artists,Riccardo Sinigallia,Una rigenerazione,E,,,,https://www.youtube.com/watch?v=0UGnzmZolvQ,,00:01:07
2014,Big Artists,Riccardo Sinigallia,Prima di andare via,DSQ,,,,https://www.youtube.com/watch?v=1bR1F-LqHrg,,00:00:48


2015,Big Artists,Il Volo,Grande amore,1,,,,https://www.youtube.com/watch?v=w1f6o1HQBvg,https://www.youtube.com/watch?v=K2KVXhx97wQ,00:01:21
2015,Big Artists,Nek,Fatti avanti amore,2,,,,https://www.youtube.com/watch?v=jFxtn_BQauk,,00:00:55
2015,Big Artists,Malika Ayane,Adesso e qui (nostalgico presente),3,,,,https://www.youtube.com/watch?v=57re4w56G3o,,00:00:52
2015,Big Artists,Annalisa,Una finestra tra le stelle,4,,,,https://www.youtube.com/watch?v=61Cr5yg8-Uc,,00:00:57
2015,Big Artists,Chiara,Straordinario,5,,,,https://www.youtube.com/watch?v=N88twLeVDPY,,00:00:57
2015,Big Artists,Marco Masini,Che giorno è,6,,,,https://www.youtube.com/watch?v=jXHZ1TRoApY,,00:00:56
2015,Big Artists,Dear Jack,Il mondo esplode,7,,,,https://www.youtube.com/watch?v=LOsfK-ke4Tw,,00:00:55
2015,Big Artists,Gianluca Grignani,Sogni infranti,8,,,,https://www.youtube.com/watch?v=RpgJrm2quQA,,00:01:06
2015,Big Artists,Nina Zilli,Sola,9,,,,https://www.youtube.com/watch?v=a7nqZyh3AjM,,00:00:44
2015,Big Artists,Lorenzo Fragola,Siamo uguali,10,,,,https://www.youtube.com/watch?v=3OjZYv4yb4U,,00:01:16
2015,Big Artists,Alex Britti,Un attimo importante,11,,,,https://www.youtube.com/watch?v=zfdg73r8a4c,,00:00:58
2015,Big Artists,Irene Grandi,Un vento senza nome,12,,,,https://www.youtube.com/watch?v=DWBGwrEe6wU,,00:01:10
2015,Big Artists,Nesli,Buona fortuna amore,13,,,,https://www.youtube.com/watch?v=cHZ49Ao6j0A,,00:00:35
2015,Big Artists,Bianca Atzei,Il solo al mondo,14,,,,https://www.youtube.com/watch?v=qYy16wUg-Vc,,00:00:55
2015,Big Artists,Moreno,Oggi ti parlo così,15,,,,https://www.youtube.com/watch?v=-eQYOAaciWE,,00:00:52
2015,Big Artists,Grazia Di Michele & Mauro Coruzzi,Io sono una finestra,16,,,,https://www.youtube.com/watch?v=ubhMk0FFPU4,,00:00:42
2015,Big Artists,Raf,Come una favola,17,,,,https://www.youtube.com/watch?v=ieNX_AoJtGg,,00:00:48
2015,Big Artists,Biggio & Mandelli,Vita d'inferno,18,,,,https://www.youtube.com/watch?v=ypghopLbrQ0,,00:00:46
2015,Big Artists,Anna Tatangelo,Libera,19,,,,https://www.youtube.com/watch?v=P97qKIfZHkQ,,00:00:51
