year,performer,song,place_contest,youtube_url_studio,start
2013,Terese Fredenwall,Breaking the Silence,E,https://www.youtube.com/watch?v=qLGJmbbgd9k,00:00:33
2013,Army of Lovers,Rockin’ the Ride,E,https://www.youtube.com/watch?v=9tyHhnfi2sk,00:00:30
2013,Sylvia Vrethammar,Trivialitet,E,https://www.youtube.com/watch?v=kFuXr66-IFg,00:00:43
2013,Lucia Piñera,Must Be Love,E,https://www.youtube.com/watch?v=5u-ASFo0mPk,00:00:44


2014,Sanna Nielsen,Undo,1,https://www.youtube.com/watch?v=N_hmzLU1_cc,00:00:44
2014,Ace Wilder,Busy Doin' Nothin',2,https://www.youtube.com/watch?v=680R1Gq2YYU,00:00:34
2014,Alcazar,Blame It on the Disco,3,https://www.youtube.com/watch?v=aHR20wnWQBA,00:00:39
2014,Helena Paparizou,Survivor,4,https://www.youtube.com/watch?v=GLb5FAygh64,00:00:41
2014,Linus Svenning,Bröder,5,https://www.youtube.com/watch?v=8b9eDVY2DyE,00:00:34
2014,Yohio,To the End,6,https://www.youtube.com/watch?v=LUmVe44UCuI,00:00:40
2014,Ellen Benediktson,Songbird,7,https://www.youtube.com/watch?v=JlDSzRVuHqs,00:00:41
2014,Oscar Zia,Yes We Can,8,https://www.youtube.com/watch?v=RidbHnUZHc0,00:00:34
2014,Panetoz,Efter solsken,9,https://www.youtube.com/watch?v=unVOe6udf4M,00:00:37
2014,Anton Ewald,Natural,10,https://www.youtube.com/watch?v=L1sNSnDFafU,00:00:45
2014,Elisa Lindström,Casanova,E,https://www.youtube.com/watch?v=cX_Vkziaj7o,00:00:50
2014,Alvaro Estrella,Bedroom,E,https://www.youtube.com/watch?v=VTVg9IyGn4I,00:00:38
2014,Mahan Moin,Aleo,E,https://www.youtube.com/watch?v=Ibfpk9ksG_w,00:00:35
2014,Sylvester Schlegel,Bygdens son,E,https://www.youtube.com/watch?v=yI9VyAqs9Vw,00:01:01
2014,Martin Stenmarck,När änglarna går hem,E,https://www.youtube.com/watch?v=3MLJwRwCAOc,00:00:47
2014,J.E.M,Love Trigger,E,https://www.youtube.com/watch?v=35pnNIUVSxg,00:00:52
2014,The Refreshments,Hallelujah,E,https://www.youtube.com/watch?v=uuwqAmWzVRQ,00:00:26
2014,Little Great Things,Set Yourself Free,E,https://www.youtube.com/watch?v=bUWLsAHwoCY,00:01:10
2014,Pink Pistols,I Am Somebody,E,https://www.youtube.com/watch?v=KHUP3eBTpI8,00:00:50
2014,Manda,Glow,E,https://www.youtube.com/watch?v=QTl-9HsSgno,00:00:35
2014,State of Drama,All We Are,E,https://www.youtube.com/watch?v=8hR3tBOR90I,00:00:34
2014,Outtrigger,Echo,E,https://www.youtube.com/watch?v=nNVEAE43xns,00:00:40
2014,Dr. Alban & Jessica Folcker,Around the World,E,https://www.youtube.com/watch?v=UxcACT7sdcU,00:00:42
2014,Shirley Clamp,Burning Alive,E,https://www.youtube.com/watch?v=4pNK2cDZ0gg,00:00:42
2014,CajsaStina Åkerström,En enkel sång,E,https://www.youtube.com/watch?v=vFyB5_7WXNY,00:01:08
2014,Eko,Red,E,https://www.youtube.com/watch?v=RYROdB26fQc,00:00:45
2014,Ellinore Holmer,En himmelsk sång,E,https://www.youtube.com/watch?v=7Lg64V3W3lc,00:00:38
2014,Ammotrack,Raise Your Hands,E,https://www.youtube.com/watch?v=60ts4nmfcaU,00:00:30
2014,Linda Bengtzing,Ta mig,E,https://www.youtube.com/watch?v=gpCSdXOLhcE,00:00:27
2014,I.D.A,Fight Me If You Dare,E,https://www.youtube.com/watch?v=TThABYqHpyo,00:00:33
2014,Josef Johansson,Hela natten,E,https://www.youtube.com/watch?v=tL4BvsHyxc8,00:00:53
2014,Janet Leon,Hollow,E,https://www.youtube.com/watch?v=eAYlGjQiqvk,00:00:34


